_id,positive_review
ObjectId("5e6e1917585dbf3baf68500b"),كان هذا البند مخصصًا لوالدتي في القانون ، لكنه قرر إعطاء ابنتي البالغة من العمر 17 عامًا أنها تحبها تمامًا
ObjectId("5e6e191b585dbf3baf68500c"),اشتريت هذا للجد لعيد الميلاد ، لم يكن لديه جهاز كمبيوتر أو جهاز لوحي وكان هذا رائعًا لأول مرة. سهل الاستخدام.
ObjectId("5e6e191f585dbf3baf68500d"),اشترى لابنته الأصغر ويحب اللعب عليه.
ObjectId("5e6e1924585dbf3baf68500e"),هذه هي الثانية التي اشتريتها لأطفالي. كل منها له جهاز لوحي خاص به الآن. بصفتي ولي أمر يعجبني ، يمكنني تعيين حدود ... مثل وقت الشاشة والقراءة ومقاطع الفيديو وما إلى ذلك. يمكنك التحكم في كل شيء. يمكن أن تكون تعليمية أيضا. هناك الكثير من التطبيقات التعليمية على الجهاز للتنزيل. مثل ويكيبيديا ، تقويم المزارعين إلخ. يجب أن تبحث البراءات وتكتشف التطبيقات مع الأطفال للاستفادة الكاملة من الجهاز اللوحي. تستمر في التحديث بانتظام.
ObjectId("5e6e1927585dbf3baf68500f"),هذا من الأشياء المفضلة لدى الزوجة ، يلعب الألعاب ، يقرأ الكتب ،
ObjectId("5e6e192b585dbf3baf685010"),جئت في الوقت المناسب صفقة جيدة بالإضافة إلى أنها في حاجة إليها
ObjectId("5e6e192f585dbf3baf685011"),أحب راحة القدرة على تشغيل الضوء أو الأجهزة الأخرى المتصلة بالمفاتيح الذكية باستخدام الأوامر الصوتية. أيضا تدفق الموسيقى مريحة للغاية ، والأخبار وتقارير الطقس.
ObjectId("5e6e1933585dbf3baf685012"),كانت هذه هدية لزوجتي التي تحب القراءة. لديها نار كيندل وتستمتع بها. كانت أمنياتها أن يكون لديها قارئ أصغر حجمًا جيدًا وجاهزًا أيضًا للاستعداد للخارج. وجدتها مع الرحلة.
ObjectId("5e6e1937585dbf3baf685013"),عنصر أساسي رائع في منزلك. اذهب إلى مصدر البطارية.
ObjectId("5e6e193b585dbf3baf685014"),ابنتي الكبرى تحبها وكذلك والديها! دائم للغاية. سأكون في غاية يوصي هذا المنتج
ObjectId("5e6e193f585dbf3baf685015"),أنا أحب هذه الأداة الأفضل التي اشتريتها منذ وقت طويل
ObjectId("5e6e1942585dbf3baf685016"),بالضبط ما يريده وهو سعيد جدًا به. لا مشاكل
ObjectId("5e6e1946585dbf3baf685017"),يستحق كل قرش ، إذا قمت بإعداده بشكل صحيح .....
ObjectId("5e6e194a585dbf3baf685018"),تمامًا كما اعتقدت ، يعمل بشكل لا تشوبه شائبة كما هو موضح في Amazon. التحرك نحو الأتمتة.
ObjectId("5e6e194e585dbf3baf685019"),سهلة الاستخدام ، قرأت في السرير كل ليلة لبضع ساعات. تدوم البطارية حوالي ثلاثة أيام ، وأوقد بلدي الآخر (الأصلي) ، حوالي 8 أيام. لكن الاتهامات بسرعة.
ObjectId("5e6e1952585dbf3baf68501a"),أحبه ، أنا استخدمه لكل شيء. جودة الصوت جيدة حقًا.
ObjectId("5e6e1955585dbf3baf68501b"),كما وصفت
ObjectId("5e6e1959585dbf3baf68501c"),شراء رائع مقابل المال! أنا فقط استخدمه في الفيسبوك والألعاب.
ObjectId("5e6e195d585dbf3baf68501d"),سيكون من السخف عدم شراء هذا الجهاز اللوحي للأطفال. يأتي مع أي أسئلة تطرح 2 سنة الضمان. لا يحتوي على إعلانات عرض خاص على ذلك. يمكن تعديله لتوفير تطبيقات Google play ولكنك ستفقد مرشحات أمازون للمحتوى. دائم وقوي للغاية. السعر رخيص بجنون
ObjectId("5e6e1961585dbf3baf68501e"),صدى صوتي رائع يعزف موسيقاي بأصوات واضحة يسمع صوتي على بعد خمسة أقدام
ObjectId("5e6e1965585dbf3baf68501f"),أحب المتحدث صدى! صوت رائع! ومع ذلك ، يجب أن تكون مشتركًا في Amazon Prime للاستمتاع بالمزايا الكاملة لهذا المنتج.
ObjectId("5e6e196a585dbf3baf685020"),اشترى النقطة أولاً لمعرفة ما إذا كنا نحبها. لقد استمتعنا بذلك ، لكننا أردنا المزيد من الحجم. عندما رأيت أن العرض كان أعلى بكثير وكان لدينا كاميرا قررنا أنه الخيار الصحيح. الآن لدينا النقطة في غرفة النوم والعرض في غرفة المعيشة. بالنسبة للغرف الأكبر ، يعد العرض خيارًا رائعًا.
ObjectId("5e6e196e585dbf3baf685021"),أنا عضو رئيسي في أمازون والعرض رائع استخدمه للتواصل مع الابن الذي يعيش في سياتل. يمكنك مشاهدة amir pirime tv وتشغيل موسيقى amazon. النص ، ولعب الألعاب قراءة كلمات الأغاني أثناء تشغيل الأغنية. احب هذا
ObjectId("5e6e1971585dbf3baf685022"),سعر رائع يعمل بشكل رائع ليس لدي أي شكاوى حول المنتج الذي أوصي به لأي شخص يحب Kindle
ObjectId("5e6e1975585dbf3baf685023"),اشتريت هذا حتى يتمكن أطفالي من التحدث إلى جدي وكان من الرائع أن يتصلوا به طوال الوقت
ObjectId("5e6e197a585dbf3baf685024"),شاشة حادة ليست كبيرة أو صغيرة جدًا. يستغرق بعض التعود على ذلك إذا كنت تستخدم عادةً iPhone. كن مستعدًا للإعلانات ، وهذا يجب أن يكون سبب بيعها بسعر منخفض. شكل نحيف ، ثقيل بما يكفي ليشعر بجودة عالية وعالية. من الصعب العثور على الحالات في المتاجر المادية.
ObjectId("5e6e197e585dbf3baf685025"),حاول Havent حتى الآن ولكن مع الكثير ، قد يموتون قبل أن نستخدمها جميعًا. العرض مدى الحياة.
ObjectId("5e6e1982585dbf3baf685026"),اشتريت واحدة زرقاء وبرتقالية لكل من أولادي التوأم. يومهم يوم 22 أغسطس. أنا لم أعطيهم أوقد. لكنني أقوم بتنزيل عدد قليل من الألعاب قبل إعطائها لهم. الرسومات مذهلة. إذا سارت الأمور على ما يرام ، فإنني أفكر في شراء اللون البنفسجي لنفسي.
ObjectId("5e6e1986585dbf3baf685027"),سريع ، سهل الاستخدام ، حساس للغاية ، متجر google play قابل للقبض ، سأشتري مرة أخرى
ObjectId("5e6e198a585dbf3baf685028"),منتج رائع!! ابنتي تحبه !!! وهي تبلغ من العمر عامين!!! وضع الأطفال هو الأفضل.
ObjectId("5e6e198e585dbf3baf685029"),أنا أستخدمها للميكروفونات اللاسلكية التي غالبًا ما يتم تركها قيد التشغيل. السعر رائع بالنسبة لكمية البطاريات. إنهم يعملون تمامًا مثل الأسماء التجارية في المنتجات التي أستخدمها معهم.
ObjectId("5e6e1992585dbf3baf68502a"),تلقيت هذا كهدية لعيد ميلادي ، حتى الآن كان رائعًا. لقد اشتريت العديد من الكتب وهي تجعل قارئ الكتب الإلكترونية رائعًا.
ObjectId("5e6e1995585dbf3baf68502b"),كانت هدية لابنتنا البالغة من العمر 8 سنوات. رائع للأطفال
ObjectId("5e6e1999585dbf3baf68502c"),هذا الإصدار هو ترقية جيدة بالفعل على قرص النار الأقدم الذي كان لدينا من قبل. سعيد جدا معها.
ObjectId("5e6e199d585dbf3baf68502d"),يحب أطفالي استخدام هذا الجهاز فهو مثالي للعب الألعاب ومشاهدة العروض
ObjectId("5e6e19a1585dbf3baf68502e"),قرص عظيم للمبتدئين! خفيف جدا وشاشة عريضة. استمتع باستخدام للسفر.
ObjectId("5e6e19a5585dbf3baf68502f"),منتج جيد جدا في نطاق سعره معقول وجيد جدا
ObjectId("5e6e19a8585dbf3baf685030"),بطاريات رائعة!
ObjectId("5e6e19ac585dbf3baf685031"),أوقد بلدي الأول. أحب ذلك حقا. سعيد اشتريتها!
ObjectId("5e6e19b0585dbf3baf685032"),منتج رائع متجذر مع ROM مخصص. ROM ضئيلة على XDA.
ObjectId("5e6e19b4585dbf3baf685033"),يوفر Fire TV صورة عالية الجودة وجهاز تحكم رائع عن بُعد.
ObjectId("5e6e19b7585dbf3baf685034"),سعيد جدا بالمنتج. إنها قمة حضن مصغرة.
ObjectId("5e6e19bc585dbf3baf685035"),اشترينا ثلاثة من هذه الأجهزة اللوحية لحفيداتنا ويستخدمونها كل يوم ويتمتعون بها. تحدثنا مع أحد زملاء Best Buy وكان من الرائع أن يخبرنا عن هذا المنتج. جعل قرارنا سهلا. شكر.
ObjectId("5e6e19bf585dbf3baf685036"),فقط أحب كيندل. سهلة الاستخدام وتحمل والمزيد من الكتب للشراء !!!!!
ObjectId("5e6e19c3585dbf3baf685037"),قرص جميل لطفل أو مراهق ليس لديه الكثير من الذاكرة.
ObjectId("5e6e19c7585dbf3baf685038"),هذا هو الجهاز اللوحي الأساسي لقراءة مكتبة واسعة من الكتب في متجر أمازون.
ObjectId("5e6e19cb585dbf3baf685039"),هذا قرص صغير رائع لابني. من السهل عليه التنقل عبره ولديه أيضًا أدوات تحكم أبوية. يمكنني التحكم في مدة استخدامه وما يقرأه.
ObjectId("5e6e19cf585dbf3baf68503a"),تم شراؤها لابن أخي البالغ من العمر 9 سنوات في عيد ميلاده. كان يطالب بجهاز لوحي إلى الأبد. أنا جعلت يومه! يحب الكمبيوتر اللوحي. كل ما يفعله هو أن يراقبك وألعب الألعاب
ObjectId("5e6e19d3585dbf3baf68503b"),أحب هذا الكمبيوتر اللوحي الصغير للقراءة والسفر مع! وضوح كبير
ObjectId("5e6e19d7585dbf3baf68503c"),اشترى 2 للحصول على هدايا عيد الميلاد للأحفاد !!! بأسعار معقولة وهم يعملون بشكل رائع !!!
ObjectId("5e6e19db585dbf3baf68503d"),كان Amazon Echo هدية رائعة لعيد الميلاد. أي شيء تريد معرفته ، اسأل أليكسا وسوف تجيب!
ObjectId("5e6e19df585dbf3baf68503e"),هذا المنتج على ما يرام ولكنه ليس أفضل ما يمكنك الحصول عليه. لبند بيع غرامة. يبدو أن عمر البطارية قصير قليلاً. خلاصة القول ..... هكذا
ObjectId("5e6e19e3585dbf3baf68503f"),صدى الخاص بي هو مساعد مفيد! تضيء الأضواء وتطفئها ، وتخبرني بالطقس ، وتعزف موسيقاي المفضلة ، وتعثر على الوصفات ، وتوقظني عندما أضبط المنبه ، وتساعدني على الاسترخاء والنوم مع موسيقى التأمل. لدي واحدة في غرفة المعيشة ونقطة في غرفة النوم.
ObjectId("5e6e19e7585dbf3baf685040"),إذا كنت تحب نار كيندل القديمة ، فهي تمامًا مثل النار الجديدة ولكن شاشة أفضل وأفضل ومساحة أكبر
ObjectId("5e6e19eb585dbf3baf685041"),وقد جعل هذا أطفالي مستمتعين ، ولكن ربما يكونون مستمتعين بقليل. للأسف ، لا يريدون أن يفعلوا الكثير
ObjectId("5e6e19ef585dbf3baf685042"),البطاريات. نوع AA قياسي. نستخدمها كل يوم. إنهم يديرون أشياء كثيرة وهذه تعمل بشكل جيد أو أفضل من أي شيء آخر.
ObjectId("5e6e19f4585dbf3baf685043"),صعد أخيرًا إلى اللوحة ودخل عربة عربة Amazon Echo ؛ دعني أخبرك ، لا أعرف لماذا انتظرت. من السهل الاتصال ، من السهل تعليمها مهارات جديدة ، لا يتعين عليك الصراخ أو التحدث مثل الروبوت بنفسي لتشغيله. بيتي في طريقه إلى المستقبل!
ObjectId("5e6e19f8585dbf3baf685044"),هذا العنصر رائع. أنا لا أمانع بشرائه مرة أخرى. ينصح به بشده.
ObjectId("5e6e19fc585dbf3baf685045"),اشتريت هذه من أجل أحفادى التوأم البالغ من العمر 5 سنوات واستمتع بألعاب التعلم كثيرًا. أحب أن تتمكن من تحديد المدة التي ينخرط فيها الطفل مع التطبيقات أو الألعاب أو الأفلام في هذا الأمر ، وأن ابنتي يمكنها استخدام حساب أمازون الرئيسي الخاص بها مع هذا! ضمان 2 سنوات من أمازون مدهش أيضًا
ObjectId("5e6e1a00585dbf3baf685046"),حصلت على هذا لابن أخي ، كان لديه مجرة ويحب الأمازون
ObjectId("5e6e1a03585dbf3baf685047"),كان لدينا بالفعل أليكسا ولكن هذه إضافة رائعة. إنه صوت محمول وقابل للشحن وجيد.
ObjectId("5e6e1a08585dbf3baf685048"),اشتريت لوح النار الخاص بي خلال موسم بيع عيد الميلاد بسعر رائع ليحل محل جهاز iPad القديم. أنا معجب حقًا بسرعة التنزيلات وجودة الفيديو. أضفت بطاقة SD غير مكلفة لتنزيل مقاطع الفيديو والعروض. إنه رائع للسفر.
ObjectId("5e6e1a0c585dbf3baf685049"),بمجرد أن تتعلم كيفية استخدامه ، يمكنك الاستمتاع به بالإضافة إلى أنه يمكن أن يكون تعليميًا.
ObjectId("5e6e1a0f585dbf3baf68504a"),مثل هذا اشترى الكثير أخرى لابنتي.
ObjectId("5e6e1a13585dbf3baf68504b"),نحن نحب هذا المنتج ونستمتع بدفق الأفلام وما إلى ذلك.
ObjectId("5e6e1a17585dbf3baf68504c"),المعالج أسرع من عصا النار ولا يتأخر تقريبًا. محتوى عالي الجودة متاح بسهولة.
ObjectId("5e6e1a1b585dbf3baf68504d"),توفر الوحدة الصغيرة جودة ممتازة وقابلية نقل كبيرة.
ObjectId("5e6e1a1f585dbf3baf68504e"),حصلت على هذه الجوهرة الصغيرة لأحد أفراد العائلة لعيد الميلاد. إنها تسافر كثيرًا وهذا يناسبها تمامًا على متن الطائرة. جودة الشاشة جيدة جدًا. ليست عالية ولكن جيدة. ابنة أخي تحب قرصها الجديد.
ObjectId("5e6e1a23585dbf3baf68504f"),القليل من الصعب إعداد المساعدة اللازمة لإعداد ابنه
ObjectId("5e6e1a27585dbf3baf685050"),هذا الجهاز اللوحي بأسعار معقولة للغاية ولديه أكثر من أشياء كافية للقيام به. لديها ميزات أقراص أكثر تكلفة في جزء صغير من التكلفة. إذا حدث شيء ما ، فلن تكون مأساة مجنونة بسبب السعر المدرج بها.
ObjectId("5e6e1a2b585dbf3baf685051"),لا توجد طريقة أخرى لشراء البطاريات
ObjectId("5e6e1a2f585dbf3baf685052"),حصلت على 2 من هؤلاء لهدايا عيد الميلاد لأحفادنا وهم يحبونهم!
ObjectId("5e6e1a32585dbf3baf685053"),لقد اشتريت هذا الجهاز اللوحي لمدة 6 سنوات وهو سهل الاستخدام.
ObjectId("5e6e1a36585dbf3baf685054"),اشترينا هذا لابننا وهو يحب ذلك. يمكنه قراءة كتبه وكذلك لعب الألعاب عليها.
ObjectId("5e6e1a3a585dbf3baf685055"),العظمى لابنتي البالغ من العمر 16 شهرا !!! سعر رائع!
ObjectId("5e6e1a3e585dbf3baf685056"),ابني يستمتع حقًا بجهازه اللوحي وخاصة الكتب ومقاطع الفيديو
ObjectId("5e6e1a41585dbf3baf685057"),لقد حصلنا على هذا الجهاز اللوحي لمدة شهر تقريبًا وليس لدينا أي شكاوى. جهاز لوحي رائع لطفل به الكثير من مساحة التخزين للألعاب!
ObjectId("5e6e1a46585dbf3baf685058"),بالنسبة للسعر ، فهو أفضل جهاز لوحي ستجده. إنه سريع جدًا (على الرغم من أنه ليس بالسرعة مثل النماذج الأكثر تكلفة) ويحمل الكثير من الكتب وكمية مناسبة من الأفلام. العرض جميل (مرة أخرى ، ليس لطيفًا مثل حرائق كيندل الأكثر تكلفة). لكن الأمر يستحق تمامًا ما دفعته لذلك.
