_id,negative_review
ObjectId("5e6e187ffe6ac8a1e6684fe2"),أجد هذا أفضل من الإصدار الأرخص الذي اشتريته في البداية من Staples. إنه يشحن بشكل أسرع ولكن ليس بالسرعة مثل شاحن Kindle الذي استخدمته لبضع سنوات قبل أن يستسلم أخيرًا. أيضًا ، لا يمكن شحن جهاز Kindle الخاص بك واستخدامه ، وهو أمر تمكنت من القيام به مع الشاحن السابق ، وهي ميزة افتقدها حقًا. لا يزال ، أفضل من البديل.
ObjectId("5e6e1883fe6ac8a1e6684fe3"),لا يوجد مكان للاتصال بالبائع هذه البطاريات هي الأسوأ! اليومين الأخيرين إلى أسبوع. أود استرداد الأموال!
ObjectId("5e6e1888fe6ac8a1e6684fe4"),هذه بطاريات سيئة مع عمر قصير للغاية. لقد أرجعت طلبي الأول بافتراض أنني حصلت على مجموعة سيئة (على الرغم من تاريخ انتهاء الصلاحية بعد سنوات). بدأت باستخدام طلب الاستبدال في أواخر شهر مايو وعليها بالفعل استبدال البطاريات. أنا أحب منتجات Amazon Basics وخدمة أمازون ولكن هذا المنتج لا يتعدى حدوده. هذه هي أول مراجعة سلبية كتبتها عن منتج على Amazon.
ObjectId("5e6e188efe6ac8a1e6684fe5"),كل ما قرأته كان مربكًا بعض الشيء حول كيفية التحكم في صدى الصوت .. ولكنه منخفض وها هي تحتوي على خدمة Alexa. لا يتحكم Echo CANNOT في تلفزيون Amazon Fire الذي كان السبب الوحيد لشرائه. حسنًا .. أيضًا على أمل أن يكون HBO Now عليه صوت محيطي ، ولكن بالطبع لم يحدث ذلك. لذلك كلاهما مخطئ هنا والسبب في إعادته على الفور. نظرًا لعدم عمل أي مما سبق ، فقد جعل هذا الجهاز فائضًا تمامًا مع جهاز Chromecast الخاص بي.
ObjectId("5e6e1891fe6ac8a1e6684fe6"),لدي 3 أطفال مصابين بالتوحد وهو أمر رائع لأنهم يمكن أن يكونوا قاسيين.
ObjectId("5e6e1896fe6ac8a1e6684fe7"),مطلوب جهاز لوحي رخيص لقراءة الكتب والرسوم الهزلية. لقد وجدت عدم وجود تطبيقات مخيبة للآمال. يبدو أن الجهاز اللوحي مصمم لجعل أحد الكتب يشتري من أمازون أو لشراء التطبيقات.
ObjectId("5e6e1899fe6ac8a1e6684fe8"),إذا كنت قد دفعت بالفعل 20 مقابل هذا المحول ، فأنت لا تفكر.
ObjectId("5e6e189dfe6ac8a1e6684fe9"),قوابس الشحن على هذه الأضرار أضرم طريقة سهلة. أشعر بخيبة أمل كبيرة لأن هذه ليست المرة الأولى التي يحدث فيها هذا لأحد أطفالي.
ObjectId("5e6e18a1fe6ac8a1e6684fea"),حصلت عليه لأنه كان أصغر وأخف وزنا من نار أوقد الأصلي. ليس من السهل أن تعمل مثل نار أوقد الأصلية.
ObjectId("5e6e18a5fe6ac8a1e6684feb"),حقيبة جميلة ، ومع ذلك لم تأت مع حزام الكتف ، وهو أحد الأسباب الرئيسية التي جعلتني أرغب في هذا الطراز الخاص.
ObjectId("5e6e18a9fe6ac8a1e6684fec"),لا تدوم طويلًا في جهاز التحكم عن بُعد أو ضوء مرحاض الحمام ، الذي نادرًا ما يتم تشغيله ولكن يتم استخدامه كل ليلة ، ولكن مرة أخرى ، لا يبدو أن جميع البطاريات تستمر كما كانت. بالمقارنة مع دوراسيل ، فإنهم يستحقون.
ObjectId("5e6e18adfe6ac8a1e6684fed"),لست سعيدًا جدًا بعمر هذه البطاريات. لا يبدو أنها تستمر طالما أن الطاقة تعمل. وفي بعض الأشياء ، ليست قوية بما يكفي للتخلص من قراءة "البطارية الميتة".
ObjectId("5e6e18b1fe6ac8a1e6684fee"),إنني أتطلع إلى التعرف على هذا المنتج بشكل أفضل. انها ليست التوصيل والتشغيل كما اعتقدت
ObjectId("5e6e18b5fe6ac8a1e6684fef"),اشترى هذا الجهاز اللوحي لمدة 8 سنوات. انها تحمل جيد وهي تحب ذلك. تستمتع بألعابها وتمكن من الوصول إلى الإنترنت.
ObjectId("5e6e18bafe6ac8a1e6684ff0"),لقد أحببت حقًا فكرة امتلاك جهاز يمكنني التحدث إليه من أي مكان يمكن أن يجيب عليه (على الرغم من أن هواتفنا المحمولة يمكن أن تفعل الشيء نفسه ، ولكن عليك تشغيلها والضغط على الأزرار ، وما إلى ذلك). من دواعي سروري أيضًا أن أتمكن من إخبار جهاز لتشغيل الموسيقى وهو يفعل ذلك ، لقد شعرت بخيبة أمل كبيرة في قدرة أليكسا على الإجابة على أي أسئلة خطيرة. يحتاج "جيف" إلى الدفع لإعادة برمجة المبرمجين إليه للبحث عن مدرسة. في كثير من الأحيان تقول Alexa عبارة مشابهة لا أفهم السؤال ، لذا دفعت بشكل أساسي مقابل الراديو. لقد دفعت مبلغًا أكبر مقابل أكبر ، ولكن لا يزال الناتج لا يختلف عن راديو الساعة.
ObjectId("5e6e18bffe6ac8a1e6684ff1"),اشتريت هذا الصندوق على أمل استخدامه في خدمة Playstation Vue الجديدة التي تعمل بشكل جيد. يفعلون كل ما يقولونه يفعلونه ولكن واحدة من المشكلات الرئيسية التي واجهتها مع النسخة الأصلية وما زلت أواجهها هي الواجهة. إن تخطيط الشاشة الرئيسية والإعلانات التي يرمونها على وجهك أمر مثير للسخرية. بعد استخدام Roku لسنوات ، و Nvidia Shield TV ، و Apple TV الجديد ، أوصي بأي من هؤلاء عبر هذا الجهاز في أي يوم. إنها توفر واجهة أكثر نظافة والمزيد من الوظائف في الغالب (باستثناء playstation vue).
ObjectId("5e6e18c3fe6ac8a1e6684ff2"),العصير في هذه البطاريات ليست طويلة الأمد.
ObjectId("5e6e18c7fe6ac8a1e6684ff3"),إذا كانت الإعلانات لا تزعجك ، فقد يكون هذا جهازًا لائقًا. اشتريت هذا لطفلي وتم تحميله بالكثير من الرسائل غير المرغوب فيها ، واستمر في تحميله مما جعله بطيئًا وبطيئًا. بالإضافة إلى أن تحميل carrasoul يجعل من الصعب التنقل للأطفال ، وليس مناسبًا للأطفال جدًا! أوه ، يمكنك دفع 15 دولارًا أمريكيًا لإزالة الإعلانات ولكنها لن تزيلها جميعًا. شراء سامسونج ، كل شيء أفضل!
ObjectId("5e6e18ccfe6ac8a1e6684ff4"),لقد راجعت هذه الأشياء تقريبًا عندما حصلت عليها ، والتي كانت في 6 أكتوبر 2015 تقريبًا. لقد حان الآن 9 نوفمبر - فقط ضع 12 من هؤلاء في أربعة تماثيل Hallmark منفصلة تعمل كل منها على ثلاث بطاريات AAA. توقف اثنان عن العمل في غضون ساعة ، وعندما وضعت بطاريات جديدة فيها ، عملوا بشكل جيد - أعتقد أن هذه لا تدوم وليست أفضل البطاريات. لمعلوماتك فقط. سأطلب بعض بطاريات AAA المنفصلة لأنني لا أعتقد أنها ذات جودة رائعة.
ObjectId("5e6e18d0fe6ac8a1e6684ff5"),هذه البطاريات ليست جيدة للغاية. اشتريتها للشموع الكهربائية وبعد استخدامها 2 لمدة 4 ساعات ، كانت البطاريات فارغة. شموعي مع everready لا تزال تحترق بعد أشهر.
ObjectId("5e6e18d8fe6ac8a1e6684ff6"),الجهاز اللوحي على ما يرام ليس مثل أبل أي باد لا تغش نفسك.
ObjectId("5e6e18dcfe6ac8a1e6684ff7"),عندما حاولت توصيله لن يتعرف على الإنترنت الخاص بي. سأضطر إلى الاتصال بأفضل شراء عندما أصل إلى المنزل وأطلب من رجالهم معرفة ما إذا كان بإمكانهم تشغيله
ObjectId("5e6e18dffe6ac8a1e6684ff8"),كان هذا سهل الإعداد وسهل التسليم إلى عمري 4 سنوات. تحب الألعاب والتطبيقات المختلفة المتاحة لها.
ObjectId("5e6e18e3fe6ac8a1e6684ff9"),إنها تقوم بعملها ولكني سأشتري واحدة أكثر سطوعًا. هناك أوقات يصعب قراءتها لأن الشاشة ليست مشرقة للغاية
ObjectId("5e6e18e7fe6ac8a1e6684ffa"),السعر جيد ... مظهر جيد على الورق .. البعض لدي سيء .. بعد عدة مرات من الاستخدام. لن تشتري مرة أخرى إلا إذا ارتفعت الجودة ..
ObjectId("5e6e18ebfe6ac8a1e6684ffb"),لست متأكدا سوف نحتفظ بهذا. قلق من الاختراقات التي تسمح بالميكروفون النشط.
ObjectId("5e6e18effe6ac8a1e6684ffc"),تحصل على ما تدفعه مقابل ... هذا ليس رائعًا ، فالوظائف والقيود تترك الكثير مما هو مرغوب فيه. كان يجب أن ينفق أكثر ويحصل على Samsung Galaxy Tab آخر.
ObjectId("5e6e18f4fe6ac8a1e6684ffd"),اشتريت هذا لابني معتقدًا أنه سيكون قرصًا جيدًا للمبتدئين. كنت مخطئا جدا. لم أستطع حتى إعداده ليستخدمه. قبل أن تعلق على أنه قد يكون المستخدم ، لقد قمت بإعداد كل جهاز إلكتروني اشتريته لنفسي أو لأطفالي (المحولات ، والهواتف المحمولة ، والقمصان المحمولة ، وأنظمة الألعاب) لن يتصل هذا الجهاز اللوحي بشبكة wifi. حتى أنني أخذتها عبر المدينة معتقدة أنها يمكن أن تجرب ذلك ولكن لا يزال لا شيء. ربما كانت المعدات الافتراضية. جلست بجانبه مباشرة وكان لدي واي فاي مثالي. جلس ابني الآخر بجانبه لديه خدمة WiFi مثالية.
ObjectId("5e6e18f7fe6ac8a1e6684ffe"),جهاز رائع أستخدمه بشكل منتظم. استثمار جيد
ObjectId("5e6e18fcfe6ac8a1e6684fff"),كسر صبي يبلغ من العمر 7 سنوات في أقل من شهرين حتى مع حارس المصد. لن تزداد قوة. عندما كانت تعمل ، كانت محدودة للغاية على التخزين. نفدت المساحة في ساعة واحدة ، لذلك لن تعمل شبكة wifi. ذهب وشرح له أنه لا يستطيع تنزيل أكثر من يد مليئة بالتطبيقات في وقت واحد. لا يهم الآن لأنه لن يتم تشغيله أو شحنه.
ObjectId("5e6e18fffe6ac8a1e6685000"),أكثر من النصف لم ينجح
ObjectId("5e6e1905fe6ac8a1e6685001"),هذه البطاريات على ما يرام فقط. لا تدوم طالما دوراسيل وعندما يموت ، عادة ما يكون ذلك على الفور. في لحظة ما يبدو أنهم يعملون بشكل جيد ، في اللحظة التالية التي ينتجون فيها نصف الطاقة. أود أن أقول أن حوالي نصف هذه البطاريات ماتت ببساطة أثناء استخدامها ، بدون تحذير ، لا فقدان تدريجي للطاقة ، ماتت ببساطة. يبدو أيضًا أنها أقصر بشكل هامشي من البطاريات التي تحمل اسم علامة تجارية ، ولكن بصراحة ، لم أقم بقياسها. يكفي أن أقول أنني قررت أن أقضي بضع سنتات إضافية لكل بطارية على بطاريات تحمل اسم العلامة التجارية. إنها ببساطة لا تستحق التوفير في رأيي. (لقد مررت بتجربة مماثلة مع بطاريات دولار ستور.)
ObjectId("5e6e1908fe6ac8a1e6685002"),لقد كان جهازًا رائعًا ولكن مشكلتي الرئيسية هي أنه لم يتمكن من تشغيل قوائم التشغيل التي قمت بتخزينها على تطبيق sonos. لعبت فقط خدمات الجري
ObjectId("5e6e190cfe6ac8a1e6685003"),هم لا يدومون حقا طويلا
ObjectId("5e6e1910fe6ac8a1e6685004"),وهو يفعل ما يفترض القيام به. كنت أرغب في الوصول إلى الإنترنت لتنزيل الكتب ولم أكن أدرك أنها لن تفعل هذه الميزة. أود أن أوصي إذا كان الشخص يريد فقط قراءة الكتب من أمازون.
ObjectId("5e6e1914fe6ac8a1e6685005"),إنه قرص بداية رائع للأطفال ، وغير مكلف للغاية ودائم.
ObjectId("5e6e1919fe6ac8a1e6685006"),The Fire 7 له سعر رائع! تحصل على قيمة أموالك. ومع ذلك ، قد تضطر إلى القيام بتبادل إذا حصلت على تالفة. الذي اشتريته يحتوي على بكسل مكسور في الشاشة. لم يكن هناك أي ضرر للحالة أو الشاشة الزجاجية ، ولكن الصورة بها ثقب أبيض ساطع في صورة الشاشة. لقد امتلكت عدة أجهزة ، ولكن لم يسبق لي أن واجهت هذه المشكلة من قبل مع جهاز لوحي ePad عندما اشتريتها للتو. سيتعين علي الآن زيارة Best Buy مرة أخرى غدًا للتبادل. آمل أنهم ما زالوا في المخزون. إنه ليس خطأ بست باي. الخطأ يقع في منطقة الأمازون. من الواضح أنها ليست متينة.
ObjectId("5e6e191cfe6ac8a1e6685007"),نفد العصير بشكل أسرع من دوراسيل أو إنرجايزر.
ObjectId("5e6e1922fe6ac8a1e6685008"),اشتريت قرصين تابعين للنار من أمازون كيد لحفيدي بمناسبة عيد الميلاد. المدرجة في شراء ايه كيه اف. الأجهزة اللوحية هي اشتراك لمدة عام واحد في KID's Free Time. أقراص ، مطلوب بطاقة الائتمان المستخدمة للشراء. لا أفهم سبب الحاجة إلى تقديم بطاقة الائتمان الخاصة بي من أجل الحصول على / تنشيط خدمة مضمنة في الشراء المسبق بالفعل! لقد كنت أنتظر الرد منذ عيد الميلاد ، لذلك ، في هذا الوقت ، كان علي أن أقدم تصنيف نجمتين بسبب نقص خدمة العملاء المتاحة لهذا المنتج. على أمل حل هذه المشكلة ، ما زلت أوصي لصديق.
ObjectId("5e6e1926fe6ac8a1e6685009"),مقابل 33 دولارًا ، إنه خيار رائع. على الرغم من أنه كان يوم الجمعة الأسود خاصًا به مثاليًا للأطفال خاصة بالنظر إلى مقدار الضرر الذي يمكن أن يتعامل معه!
ObjectId("5e6e192cfe6ac8a1e668500a"),اشترى هذا في الغالب كنسخة احتياطية. وقراءة بعض الكتب ، لأن لدي هاتف خلوي أكبر ونسخة احتياطية. قد يستخدمه أحيانًا 40 أو 50 ساعة من الاستخدام حتى هذا الأسبوع عندما أرسلت جهاز الكمبيوتر المحمول لإصلاحه. لذلك ربما استخدمته هذا الأسبوع. كنت أشاهد الفيديو الخاص بي للمرة الثالثة هذا الأسبوع وتم إيقاف تشغيله ببساطة. لن يتم تشغيله باستخدام أي خدعة كهربائية مثل الوضع الآمن. لقد ذهب ، إنه نخب. اشتريتها في 11 أكتوبر 2016 ، وتم إنهاؤها في 9 فبراير 2015. واستمر ناري القديم 4 أو 5 سنوات مع مزيد من الاستخدام. يحتوي على مكبرات صوت استريو ، واستمر لمدة أسبوع برسوم لا تصل إلى يومين أو 3 أيام. هذا مليء بالخردة ، لا يتم عرض المزيد من التطبيقات فقط ، بل تحاول إضافتها باستمرار. خردة خردة خردة
ObjectId("5e6e1930fe6ac8a1e668500b"),اشتريت وعادت هذا البند. كنت آمل أن أتمكن من مشاهدة الألعاب الرياضية المختلفة عبر الإنترنت باستخدام Amazon Fire TV ولكن كل ما حددته ذكر أنه لم يكن متاحًا. بعد تجربة أشياء مختلفة لبضعة أيام ، اكتشفت أنني لن أحصل على النتائج التي أردتها وأعدت الوحدة.
ObjectId("5e6e1935fe6ac8a1e668500c"),اشتريت هذه الأشياء لمحاولة لأنني احتاج الكثير من قريتي لعيد الميلاد. مع مرور 24 ساعة ، ماتت بعض البطاريات ، لذا أوقفتها جميعًا حتى أتمكن من تشغيلها على الأقل في عيد الميلاد. أشعر بخيبة أمل كبيرة فيها ، واضطررت إلى الخروج وشراء المزيد من النحاس الأعلى الذي كان في الأسابيع والأسابيع الماضية لإبقاء قريتي مضاءة للعطلات. لن أشتري هذه مرة أخرى.
ObjectId("5e6e193cfe6ac8a1e668500d"),تعمل هذه البطاريات ولكنها لا تدوم طويلاً حقًا. ربما تحصل على 3-4 أسابيع للخروج منها. من الأفضل شراء بطاريات rayovac أو إنرجايزر من مستودع المنزل
ObjectId("5e6e1940fe6ac8a1e668500e"),لا بأس ، لكنني أفضل شراء Samsung Galaxy Tab
ObjectId("5e6e1943fe6ac8a1e668500f"),قرص رخيصة ولكن بنيت الصلبة. صوت ضعيف وكاميرا ضعيفة.
ObjectId("5e6e1947fe6ac8a1e6685010"),جودة رهيبة. تستمر هذه الأيام من 4 إلى 6 أيام في وحدة تحكم Xbox وربما 10 أيام في جهاز تحكم عن بعد. جودة رهيبة.
ObjectId("5e6e194bfe6ac8a1e6685011"),يحتاج إلى المزيد من التطبيقات ولديه أخطاء تحتاج إلى إصلاح .....
ObjectId("5e6e194ffe6ac8a1e6685012"),ما الخطأ الذي حدث هذه أسوأ بطاريات AAA اشتريتها على الإطلاق. اجعل أسوأ بطاريات تم شراؤها على الإطلاق. لقد استخدمت أكثر من نصفهم حتى الآن وأنا أحصل على حوالي 25 من الحياة التي حصلت عليها سابقًا من دوراسيل وأسماء تجارية أخرى.
ObjectId("5e6e1953fe6ac8a1e6685013"),ستكون هذه هدية عيد الميلاد لحفيدتي لذا لا نعرف مدى روعتها بعد ، ولكننا سنضع الألعاب عليها حتى تكون جاهزة للذهاب ولا يمكننا ذلك لأنه يجب أن يكون لديك أمازون حساب للقيام بأي شيء معها.
ObjectId("5e6e1957fe6ac8a1e6685014"),اشتريت هذا الجهاز اللوحي الأول. أشعر بخيبة أمل في عمر البطارية. لقد توقعت نوعًا ما بشكل أفضل خاصة أنني أصبحت مدمنًا للألعاب عبر الإنترنت.
ObjectId("5e6e195bfe6ac8a1e6685015"),يعمل تطبيق Netflix بشكل رائع بدون تخزين مؤقت وجودة HD عالية. تطبيقات وأفلام أمازون لها مشاكلها. لكن بشكل عام أحب تلفزيون النار. إذا كان Amazon يعمل فقط مثل Netflix ، فسيكون 5 نجوم.
ObjectId("5e6e195ffe6ac8a1e6685016"),التصميم والألوان الأنيقة المتاحة للأطفال الصغار جيدة. الجهاز اللوحي بسعر جيد ومفيد.
ObjectId("5e6e1963fe6ac8a1e6685017"),لا يمكنني معرفة كيفية الاستخدام بدون تبديل مقابس HD1 باستمرار.
ObjectId("5e6e1966fe6ac8a1e6685018"),هذا الجهاز اللوحي رائع لمالك الجهاز اللوحي لأول مرة ، وهو أصغر من الجهاز الحالي.
ObjectId("5e6e196afe6ac8a1e6685019"),لا تدوم طويلا.
ObjectId("5e6e196efe6ac8a1e668501a"),الأفلام التي تم تنزيلها لابني لمشاهدتها والصوت فظيع ، بالكاد يمكنك سماعها حتى أعيدتها
ObjectId("5e6e1972fe6ac8a1e668501b"),هذه البطاريات تستمر 5 دقائق. هدر للمال.
ObjectId("5e6e1977fe6ac8a1e668501c"),هذا قرص جيد للأطفال والكبار أيضًا. ولكن هناك مشكلة في المنفذ وكابل الشاحن. لم يكن لدينا هذا الجهاز اللوحي حتى 3 أسابيع قبل أن يتم شحن الشعير. أعادها إلى أفضل شراء وقالوا أنهم لا يستطيعون ثعلبها ، وتخيلوا أن المنفذ غير مشمول بضمان الشركة المصنعة. لدي الآن جهاز لوحي يستغرق شحنه يومين. إنه أمر محبط حقا.
ObjectId("5e6e197bfe6ac8a1e668501d"),لا تضيع أموالك على هذه. اشتريت صندوقًا بقيمة 48 في نوفمبر من عام 2015. إنه الآن في مارس من عام 2016 ، وقد استخدمنا حوالي ثلثهم. والبقية ماتوا بالفعل. 10 سنوات الصلاحية !!! ... في مكان قريب.
ObjectId("5e6e197ffe6ac8a1e668501e"),لا بأس ، ليس جيدًا كما أحببت لما أحتاج إليه. سأشتري مرة أخرى. تسليم سريع جيد.
ObjectId("5e6e1982fe6ac8a1e668501f"),كان تابلت جميل مقابل السعر. إنه قرص مبتدئ لطيف وجهاز لوحي جيد للأطفال.
ObjectId("5e6e1987fe6ac8a1e6685020"),الشاشة متواضعة. المعالج جيد ، قليل التخزين. وعليك التعامل مع الإعلانات في كل مرة تقوم فيها بتشغيل الشاشة. يمكنك الدفع لإزالتها. لهذا السعر ، يمكنك الحصول على شاشة أفضل ومساحة تخزين أكبر وفتح بيئة إيكولوجية. ليست مرتبطة بالأمازون فقط
ObjectId("5e6e198afe6ac8a1e6685021"),في رأيي ، هذا النموذج صغير للغاية ويشعر أنه رخيص. وفتحة بطاقة sd.
ObjectId("5e6e198efe6ac8a1e6685022"),لم أكن معجبًا بنظام التشغيل. كان يأمل أن يكون أكثر من أسلوب الروبوت. ليس كثيرا.
ObjectId("5e6e1992fe6ac8a1e6685023"),أحب النقطة ، أكره الحنفية المحمولة! لن يحمل هذا الجهاز رسومًا حتى ليوم واحد. النقاط مذهلة بالرغم من ذلك.
ObjectId("5e6e1996fe6ac8a1e6685024"),لقد اشتريت هذا الجهاز اللوحي لحفيدتي ، ولا يمكنها إخماده!
ObjectId("5e6e1999fe6ac8a1e6685025"),هذه لا تحمل المسؤولية لفترة طويلة.
ObjectId("5e6e199dfe6ac8a1e6685026"),صغير الحجم ، ويفصل بالفعل عن حزام الخصر. لن تشتري مرة أخرى.
ObjectId("5e6e19a2fe6ac8a1e6685027"),اشتريت اثنين من أقراص Amazon Fire لأن رجل المبيعات قال إنهما رائعان وركضان بسرعة. لدي إنترنت سريع للغاية وهذا الشيء بالكاد يبتلع. إذا كنت تلعب لعبة ، فإنها تتوقف وتتجمد باستمرار. جودة الصوت عند تشغيل الموسيقى رهيبة. كنت أخطط لشراء واحدة لكل من بنات أخي وأبناء أخي البالغ عددهم 9 إذا كانوا قد ساروا بشكل جيد ولكن الآن أعرف أن هذا لن ينجح معهم لأنهم فظيعون.
ObjectId("5e6e19a6fe6ac8a1e6685028"),يجب أن أفصله وانتظر 30 ثانية في كل مرة
